,precision,recall,f1-score,support
SOUTHERN DOGFACE,0.75,0.6,0.6666666666666665,5.0
STRAITED QUEEN,1.0,0.8,0.888888888888889,5.0
TROPICAL LEAFWING,1.0,1.0,1.0,5.0
TWO BARRED FLASHER,1.0,0.8,0.888888888888889,5.0
ULYSES,0.8333333333333334,1.0,0.9090909090909091,5.0
VICEROY,0.8333333333333334,1.0,0.9090909090909091,5.0
WHITE LINED SPHINX MOTH,1.0,0.6,0.7499999999999999,5.0
WOOD SATYR,1.0,1.0,1.0,5.0
YELLOW SWALLOW TAIL,1.0,0.8,0.888888888888889,5.0
ZEBRA LONG WING,1.0,0.8,0.888888888888889,5.0
accuracy,0.888,0.888,0.888,0.888
macro avg,0.9134145021645022,0.888,0.8830520313020312,500.0
weighted avg,0.9134145021645023,0.888,0.8830520313020314,500.0
